id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
156506,83076,1000-nen Oukoku,"The prophet Nostradamus has foreseen that the world as we know it shall end in the year 1999, and the thousand-year kingdom of angels and children will commence. A young boy named Shou is at first unaware of these prophecies, enjoying a normal life with his sweetheart Alisa. However, a series of events changes his life forever, as he is entrusted with the task of saving humans by discovering the ancient continent of Atlantis.",1986-08-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13439,12353,1001 BC: A Mediterranean Odyssey,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
89224,2373,10th Frame,NULL,1986-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
69966,8562,177,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
122312,45322,180 Darts,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81915,13931,1942 Mission,NULL,1986-03-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
39139,145414,1943: One Year After,NULL,1986-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
46314,2293,221B Baker Street,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81077,146255,3D Thunder Ceptor II,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9257,8580,720 Degrees,"The game's name comes from the ""ultimate"" trick, turning a full 720° (two complete circles) in the air after jumping off a ramp. 720° has the player controlling a skateboarder ripping around a middle-class neighborhood. By doing jumps and tricks, the player can eventually acquire enough points to compete at a skate park.",1986-12-01 00:00:00.000,1,NULL,NULL,NULL,39.6247,12
61684,14150,8 Ball,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
45055,15584,9 Classic Card & Board Games: No. 1,NULL,1986-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
45457,15585,9 Classic Card & Board Games: No. 2,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15129,94651,Aardvark,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
61108,13933,Abu Simbel Profanation,NULL,1986-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
36399,13281,Academy: Tau Ceti II,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
100486,11863,Ace of Aces,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3689,11885,Action Fighter,NULL,1986-08-17 00:00:00.000,1,NULL,NULL,NULL,96.6304,10
26259,13936,Action Reflex,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
49757,13285,Activator,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
194975,4594,Adventure Island,"The player controls Master Higgins, a young man who ventured to Adventure Island in the South Pacific after hearing that the Evil Witch Doctor kidnapped Princess Leilani. To rescue her, Higgins must survive a series of 32 stages. There are eight worlds called ""areas"", which are divided four stages or ""rounds"" each, which are further divided into four checkpoints. When the player reaches the fourth round of each area, he must confront a boss at the end to continue to the next area. The game is completed when the player saves the girl after defeating the eighth and final form of the evil lord.",1986-09-12 00:00:00.000,10,NULL,NULL,NULL,69.1384,62
94237,36565,After Shock,NULL,1986-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
115782,13293,Agent Orange,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
100041,23067,Agent X,NULL,1986-12-31 00:00:00.000,NULL,NULL,70.0000,1,NULL,NULL
82604,48667,Aigiina No Yogen: Balubalouk No Densetsu Yori,NULL,1986-12-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
126818,36585,Airheart,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26138,41665,Albatross: Tournament Golf,NULL,1986-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
189226,218835,Alcatraz: A Fuga Impossível,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128062,26778,Alex Kidd in Miracle World,NULL,1986-11-01 00:00:00.000,4,NULL,NULL,NULL,66.9781,39
156879,13678,Alex Kidd: The Lost Stars,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,64.2977,12
114724,13304,Alien Highway: Encounter 2,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
155594,4478,Alien Syndrome,NULL,1986-12-31 00:00:00.000,1,NULL,NULL,NULL,65.8704,15
31538,36810,Aliens: The Computer Game (Activision),NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
62348,28850,Alleykat,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9421,47558,Alpha Roid,NULL,1986-08-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
47081,2303,Alter Ego,NULL,1986-12-31 00:00:00.000,NULL,NULL,80.0000,2,50.0000,4
117815,12292,Amazing Bumpman,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
17648,13312,America's Cup Challenge,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
124623,14436,Amnesia,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
164085,11903,Annals of Rome,NULL,1986-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12249,13804,Arac,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
39123,67701,Arcana,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13268,11913,Arcticfox,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
46896,44153,Ardok the Barbarian,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
29946,14169,Arena,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
93226,146451,Argo,"Loosely based on the Greek myth of the Argonauts, Argo focuses on its central protagonist Iason (Jason), narrating a simple story that does not quite correspond to the known myth: Iason's father has been poisoned, and his native city Iolkos overrun by monsters known as Pontos. Iason must single-handedly eliminate them and save his homeland.",1986-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
124353,46762,Argus,NULL,1986-04-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8937,4595,Arkanoid,"The player controls the ""Vaus"", a space vessel that acts as the game's ""paddle"" which prevents a ball from falling from the playing field, attempting to bounce it against a number of bricks. The ball striking a brick causes the brick to disappear. When all the bricks are gone, the player goes to the next level, where another pattern of bricks appears. There are a number of variations (bricks that have to be hit multiple times, flying enemy ships, etc.) and power-up capsules to enhance the Vaus (expand the Vaus, multiply the number of balls, equip a laser cannon, break directly to the next level, etc.), but the gameplay remains the same.

At round 33, the final stage, the player will take on the game's boss, ""DOH"", a head resembling moai. Once a player reaches round 33, he must defeat DOH with his remaining extra lives because there are no continues on the final round.",1986-12-01 00:00:00.000,13,NULL,NULL,NULL,82.0556,81
63072,13334,Arquimedes XXI,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
156641,213265,Ashura,NULL,1986-11-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
51445,13339,Asterix and the Magic Cauldron,NULL,1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
60683,37176,Astro Warrior,NULL,1986-12-14 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
178685,9052,Athena,"The princess Athena of the heavenly kingdom of Victory was bored of the monotonous life of the palace and goes to seek adventure, opening the door that is not supposed to be opened. She falls from the skies (losing her dress in the process) and enters the Fantasy World, controlled by Dante. Athena must defeat a number of beast-like warriors and dangers in order to eventually defeat Dante, free Fantasy World, and return to her own kingdom.",1986-12-31 00:00:00.000,NULL,NULL,NULL,NULL,58.6164,10
76622,39710,Athena In Wonderland,NULL,1986-07-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
82444,9104,Athletic World,"Athletic World simulated five different Olympic-style challenges: Hurdles, Hop-A-Log, Animal Trail, Rafting, and Dark Tunnel. The game was marketed as ""an athletic training camp - in your own home! Fitness is just a hop, skip, and a jump away with ATHLETIC WORLD - the video game that's controlled by the movements of YOUR body! Test your athletic ability on Bandai's five challenging events as you move up the difficulty scale from Training to Beginner to Expert! Staying in shape never felt so good - or was quite so much fun!""",1986-11-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
131161,6568,Atlantis no Nazo,"Several years ago, a gigantic island arose from the southern Atlantic Ocean due to sudden shifts on the Earth's surface. Numerous adventurers made their way to the island to investigate, but none of them were able to return home safely. This island was named Atlantis, and nobody approached it out of fear. The game's main character is an amateur adventurer named Wynn, who decides to go to the island after learning that his master disappeared on the island over half a year ago. Armed with the special dynamite invented by the master, Wynn heads over to Atlantis all by himself to face an evil emperor who seeks to revive an ancient empire.",1986-04-17 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
8642,41796,Attack Four Volleyball,NULL,1986-07-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
